duplicate_name_en,occurrence_count,name_ja,source_architect_id,source_line
"NIKKEN SEKKEI",145,"高橋秀通＋勝矢武之＋大庭拓也＋高橋恵多／日建設計",9394,4458
"NIKKEN SEKKEI",145,"日建設計／高橋秀通＋大庭拓也＋高橋恵多",9478,4516
"NIKKEN SEKKEI",145,"日建設計",9509,4532
"NIKKEN SEKKEI",145,"八里直輝＋柳澤彩＋山崎隆盛／日建設計",9510,4533
"NIKKEN SEKKEI",145,"日建設計／羽月喜通＋朴玄淳＋小松良朗＋岩田友紀",9551,4554
"NIKKEN SEKKEI",145,"日建設計／大庭拓也＋松丸真佑美",9576,4567
"NIKKEN SEKKEI",145,"日建設計",9705,4642
"NIKKEN SEKKEI",145,"日建設計／小谷陽次郎＋岡田宏介＋村井健治",9720,4651
"NIKKEN SEKKEI",145,"日建設計",9753,4667
"NIKKEN SEKKEI",145,"日建設計",9887,4742
"NIKKEN SEKKEI",145,"日建設計／勝矢武之＋津田文＋加藤雅大",9918,4762
"NIKKEN SEKKEI",145,"日建設計",10016,4813
"NIKKEN SEKKEI",145,"日建設計",10046,4828
"NIKKEN SEKKEI",145,"日建設計／多喜茂＋白井尚太郎＋高畑貴良志＋戸田弘志",10062,4836
"NIKKEN SEKKEI",145,"日建設計／大澤智＋久下武彦＋吉田聡",10099,4855
"NIKKEN SEKKEI",145,"日建設計",10115,4860
"NIKKEN SEKKEI",145,"日建設計",10167,4892
"NIKKEN SEKKEI",145,"日建設計",10168,4893
"TAKENAKA CORPORATION",99,"竹中工務店",8,9
"TAKENAKA CORPORATION",99,"竹中工務店",380,236
"TAKENAKA CORPORATION",99,"竹中工務店",663,351
"TAKENAKA CORPORATION",99,"竹中工務店",1278,606
"TAKENAKA CORPORATION",99,"竹中工務店",1755,823
"TAKENAKA CORPORATION",99,"竹中工務店",1780,833
"TAKENAKA CORPORATION",99,"竹中工務店",2254,1020
"TAKENAKA CORPORATION",99,"竹中工務店",2374,1073
"TAKENAKA CORPORATION",99,"竹中工務店",2439,1095
"TAKENAKA CORPORATION",99,"竹中工務店",2503,1120
"TAKENAKA CORPORATION",99,"竹中工務店",2539,1133
"TAKENAKA CORPORATION",99,"竹中工務店",3055,1324
"TAKENAKA CORPORATION",99,"竹中工務店",3249,1405
"TAKENAKA CORPORATION",99,"竹中工務店",3308,1437
"TAKENAKA CORPORATION",99,"竹中工務店",3313,1442
"TAKENAKA CORPORATION",99,"竹中工務店",3429,1486
"TAKENAKA CORPORATION",99,"竹中工務店",3585,1543
"TAKENAKA CORPORATION",99,"竹中工務店",3861,1669
"TAKENAKA CORPORATION",99,"竹中工務店",3880,1678
"TAKENAKA CORPORATION",99,"竹中工務店",4316,1866
"TAKENAKA CORPORATION",99,"竹中工務店",4411,1896
"TAKENAKA CORPORATION",99,"竹中工務店",4439,1905
"TAKENAKA CORPORATION",99,"竹中工務店",4567,1962
"TAKENAKA CORPORATION",99,"竹中工務店",5087,2195
"TAKENAKA CORPORATION",99,"竹中工務店",5150,2230
"TAKENAKA CORPORATION",99,"竹中工務店",5191,2247
"TAKENAKA CORPORATION",99,"竹中工務店",5618,2463
"TAKENAKA CORPORATION",99,"竹中工務店",5696,2500
"TAKENAKA CORPORATION",99,"竹中工務店",5822,2572
"TAKENAKA CORPORATION",99,"竹中工務店",5840,2582
"TAKENAKA CORPORATION",99,"竹中工務店",6025,2674
