#architectEn誤	正

JUN MITSUI&ASSOCIATES	JUN MITSUI & ASSOCIATES ARCHITECTS
JUN MITSUI & ASSOCIATES	JUN MITSUI & ASSOCIATES ARCHITECTS
JUN MITSUI & ASSOCIATES ARCHITECTS	JUN MITSUI & ASSOCIATES ARCHITECTS
JUN MITSUI & ASSOCIATES INC ARCHITECTS	JUN MITSUI & ASSOCIATES ARCHITECTS
Jun Mitsui & Associates Inc. Architects	JUN MITSUI & ASSOCIATES ARCHITECTS
JUN MITSUI AND ASSOCIATES	JUN MITSUI & ASSOCIATES ARCHITECTS
NIKKEN SEKKEI Planners/Architects/Engineers	NIKKEN SEKKEI

MASAYA FUJIMOTO + GENDAI KEIKAKU ARCHITECTURAL PLANNING OFFICE	GENDAI KEIKAKU ARCHITECTURAL & PLANNING OFFICE
Gendai planning institute	GENDAI KEIKAKU ARCHITECTURAL & PLANNING OFFICE

HIROSHI HARA＋ATELIER Φ	HIROSHI HARA + ATELIERφ
HIROSHI HARA + ATELIER Φ	HIROSHI HARA + ATELIERφ
HIROSHI HARA+ATELIER	HIROSHI HARA + ATELIERφ
HIROSHI HARA ＋ ATELIER Φ	HIROSHI HARA + ATELIERφ
HIROSHI HARA＋Atelier φ	HIROSHI HARA + ATELIERφ
OSAMU ISHIYAMA Lab.DEPARTMENT OF ARCHITECTURE, WASEDA UNIVERSITY.	Shubu Ishiyama
Osamu Ishiyama	Shubu Ishiyama

MAKOTO SEI WATANABE / ARCHITECTS' OFFICE	MAKOTO SEI WATANABE/ ARCHITECTS' OFFICE
MAKOTO SEI WATANABE / ARCHITECTS OFFICE	MAKOTO SEI WATANABE/ ARCHITECTS' OFFICE
MAKOTO SEI WATANABE/ARCHITECTS' OFFICE	MAKOTO SEI WATANABE/ ARCHITECTS' OFFICE
MAKOTO WATANABE/Architects' Office	MAKOTO SEI WATANABE/ ARCHITECTS' OFFICE
MAKOTO WATANABE	MAKOTO SEI WATANABE/ ARCHITECTS' OFFICE
Architects Office Makoto Watanabe	MAKOTO SEI WATANABE/ ARCHITECTS' OFFICE

MITSURU SENDA	MITSURU SENDA + ENVIRONMENT DESIGN INSTITUTE
MITSURU SENDA ＋ ENVIRONMENT DESIGN INSTITUTE	MITSURU SENDA + ENVIRONMENT DESIGN INSTITUTE
MITSURU SENDAI AND ENIVIRONMENT DESIGN INSTITUTE	MITSURU SENDA + ENVIRONMENT DESIGN INSTITUTE
MITSURU SENDA AND ENVIRONMENT DESIGN INSTITUTE	MITSURU SENDA + ENVIRONMENT DESIGN INSTITUTE
MITSURU MAN SENDA AND ENVIRONMENT DESIGN INSTITUTE	MITSURU SENDA + ENVIRONMENT DESIGN INSTITUTE
MITSURU SENDA+E.D.I	MITSURU SENDA + ENVIRONMENT DESIGN INSTITUTE

NOMURA REAL ESTATE DEVELOPMENT ARCHITECTURAL DESIGN DEPT.	NOMURA REAL ESTATE DEVELOPMENT

ADH ARCHITECS	ADH ARCHITECTS
design organization adh	ADH ARCHITECTS
ATLIER HITOSHI ABE	ATELIER HITOSHI ABE
Noriaki okabe architecture network (design design)	NORIAKI OKABE ARCHITECTURE NETWORK

MHS PLANNERS， ARCHITECTS & ENGINEERS	MHS PLANNERS, ARCHITECTS & ENGINEERS
MHS PLANNERS, ARCHITECTS & ENGINEERS	MHS PLANNERS, ARCHITECTS & ENGINEERS
Consortium of MHS	MHS PLANNERS, ARCHITECTS & ENGINEERS
MHS PLANNERS, ARCHITECTS,ENGINEERS	MHS PLANNERS, ARCHITECTS & ENGINEERS
MHS Planner Architects & Engineers	MHS PLANNERS, ARCHITECTS & ENGINEERS

HASEKO CORPORATION ARCHITECTURE&ENGINEERING DEPT.	HASEKO CORPORATION

KENJI NAWA／NAWAKENJIM	KENJI NAWA / NAWAKENJI-M
KENJI NAWA/NAWAKENJI-M	KENJI NAWA / NAWAKENJI-M

Nippon Design Office	Japan Design Office
NIHON Architects, Engineers & Consultants	Japan Design Office

DATICH KOBO ASSOCIATES	DAIICHI-KOBO ASSOCIATES
Dai-Ichi Kobo	DAIICHI-KOBO ASSOCIATES
First Workshop	DAIICHI-KOBO ASSOCIATES

Riken yamamoto design factory	RIKEN YAMAMOTO & FIELD SHOP

Kokken	KUNIKEN
national construction	KUNIKEN
ARCHITECT ５ PARTNERSHIP	ARCHITECT 5 PARTNERSHIP

ISOZAKI ARATA	ARATA ISOZAKI

NISSOKEN ARCHITECTS／ENGINEERS	NISSOKEN ARCHITECTS/ENGINEERS
NISSOUKEN	NISSOKEN ARCHITECTS/ENGINEERS

NORIHIKO DAN ASSOCIATES	NORIHIKO DAN AND ASSOCIATES

EAST JAPAN RAILWAY	EAST JAPAN RAILWAY COMPANY

KLEINI DYTHAM ARCHITECTURE	KLEIN DYTHAM ARCHITECTURE
KLEIN DYTHAM ARCITECTURE	KLEIN DYTHAM ARCHITECTURE

HIROFUMI OHNO／OHNO JAPAN	HIROFUMI OHNO / OHNO JAPAN
OHNO JAPAN	HIROFUMI OHNO / OHNO JAPAN

TODA CORPORATION ARCHITECTURAL DESIGN DIVISION	TODA CORPORATION
TODA CORPORATION ARCHITECTURAL DESIGN DEPT	TODA CORPORATION
TODA CORPORATION ARCHITECTURAL DESIGN	TODA CORPORATION

DAIWA HOUSE INDUSTRY CO.LTD	DAIWA HOUSE INDUSTRY

Kume Architectural Office	KUME ARCHITECTS
KUME Architects-Engineers	KUME ARCHITECTS
kume & associates	KUME ARCHITECTS

MAYEKAWA ASSOCIATES ARCHITECTS & ENGINEERS	MAYEKAWA ASSOCIATES, ARCHITECTS & ENGINEERS
MAYEKAWA ASSOCIATES,ARCHITECTS & ENGINEERS	MAYEKAWA ASSOCIATES, ARCHITECTS & ENGINEERS
MAYEKAWA Associates and Engineers	MAYEKAWA ASSOCIATES, ARCHITECTS & ENGINEERS
Maekawa architects & engineers	MAYEKAWA ASSOCIATES, ARCHITECTS & ENGINEERS
MAEKAWA ASSOCIATES AND ENGINEERS	MAYEKAWA ASSOCIATES, ARCHITECTS & ENGINEERS

IRIE MIYAKE ARCHITECTS & ASSOCIATES	IRIE MIYAKE ARCHITECTS & ENGINEER
Irie Miyake Design Office	IRIE MIYAKE ARCHITECTS & ENGINEER

NIKKEN SEKKEL	NIKKEN SEKKEI
TAKENAKA CORPORATION TOKYO HEAD OFFICE	TAKENAKA CORPORATION

MITSUBISHI-JISHO-SEKKEI	MITSUBISHI JISHO SEKKEI
MITSUBISHI JISHO SEKKEI INC	MITSUBISHI JISHO SEKKEI
MITSUBISHI JISHO SEKKEI INC.	MITSUBISHI JISHO SEKKEI
MITSUBISHI JISHO	MITSUBISHI JISHO SEKKEI


NIKKEN SEKKEI, PLANNERS, ARCHITECTS AND ENGINEERS	NIKKEN SEKKEI
NIHON SEKKEI,INC.	NIHON SEKKEI
TAISEI CORPORATION DESIGN DEPARTMENT	TAISEI CORPORATION
OBAYASHI CORP. ARCHITECTURAL & ENGINEERING DIVISION	OBAYASHI CORPORATION
OBAYASHI CORPORATION HEAD OFFICE, FIRST-CLASS ARCHITECT OFFICE	OBAYASHI CORPORATION
YAMASHITA SEKKEI, ARCHITECTS, ENGINEERS & CONSULTANTS	YAMASHITA SEKKEI
NTT FACILITIES INC.	NTT FACILITIES
ISHIMOTO ARCHITECTURAL AND ENGINEERING FIRM	ISHIMOTO ARCHITECTURAL & ENGINEERING FIRM
ISHIMOTO ARCHITECTURAL&ENGINEERING FIRM	ISHIMOTO ARCHITECTURAL & ENGINEERING FIRM
ISHIMOTO ARCHITECTURAL & ENGINEERING FIRM(BASIC DESIGN)	ISHIMOTO ARCHITECTURAL & ENGINEERING FIRM
TOYO ITO & ASSOCIATES	TOYO ITO & ASSOCIATES, ARCHITECTS
TOYO ITO & ASSOCIATES, ARCHITECT	TOYO ITO & ASSOCIATES, ARCHITECTS
TOYO ITO &  ASSOCIATES, ARCHITECTS	TOYO ITO & ASSOCIATES, ARCHITECTS
TOYO ITO&ASSOCIATES, ARCHITECTS	TOYO ITO & ASSOCIATES, ARCHITECTS
