name_en,unique_ja_count,name_ja,occurrence_count,source_architect_id,source_line
"TOSHIHIRO MIZUTANI ARCHITECTS",2,"水谷俊博＋水谷玲子／水谷俊博建築設計事務所",1,7613,3459
"TOSHIHIRO MIZUTANI ARCHITECTS",2,"水谷俊博建築設計事務所",1,9185,4323
"KAWAZOE LAB， INSTITUTE OF INDUSTRIAL SCIENCE， THE UNIVERSITY OF TOKYO",2,"川添善行＋松繁宏樹＋田邊裕之 東京大学生産技術研究所川添研究室",1,7648,3478
"KAWAZOE LAB， INSTITUTE OF INDUSTRIAL SCIENCE， THE UNIVERSITY OF TOKYO",2,"川添善行＋原裕介＋吉武舞＋東京大学生産技術研究所川添研究室",1,7762,3544
"ALPHAVILLE ARCHITECTS",2,"竹口健太郎＋山本麻子／アルファヴィル",1,7672,3494
"ALPHAVILLE ARCHITECTS",2,"アルファヴィル",1,9849,4720
"BE-FUN DESIGN",2,"ビーフンデザイン",1,7680,3496
"BE-FUN DESIGN",2,"進藤強／ビーフンデザイン",1,9101,4274
"TAICHI TOMURO ARCHITECTS",2,"戸室太一／戸室太一建築設計室",1,7716,3521
"TAICHI TOMURO ARCHITECTS",2,"戸室太一建築設計室",1,8848,4131
"SOGO SETSUBI CONSULTING",2,"東京工業大学施設運営部",1,7812,3566
"SOGO SETSUBI CONSULTING",2,"総合設備コンサルタント",1,10097,4852
"16 ARCHITECTS",2,"小川達也＋小引寛也／16アーキテクツ",1,7940,3634
"16 ARCHITECTS",2,"小川達也＋鶴岡大悟郎／16アーキテクツ",1,8988,4208
"KWAS / KENSUKE WATANABE ARCHITECTURE STUDIO",2,"kwas／渡邉健介建築設計事務所",1,7953,3643
"KWAS / KENSUKE WATANABE ARCHITECTURE STUDIO",2,"渡邉健介建築設計事務所",1,9758,4668
"OSAKA GAS",2,"大阪ガス",1,8104,3720
"OSAKA GAS",2,"大阪ガス NEXT21継続改修検討WG",1,9849,4720
"SCHEMATA ARCHITECTS",2,"長坂常＋山本亮介／スキーマ建築計画",1,8132,3735
"SCHEMATA ARCHITECTS",2,"スキーマ建築計画",1,9160,4309
"YHA ARCHITECTS",2,"平瀬有人＋平瀬祐子／yHa architects",1,8147,3742
"YHA ARCHITECTS",2,"yHa architects",1,9921,4762
"JUN MITSUI & ASSOCIATES",2,"光井純アンドアソシエーツ建築設計事務所",1,8270,3807
"JUN MITSUI & ASSOCIATES",2,"光井純&アソシエーツ建築設計事務所",1,9088,4265
"OKAMURA",2,"岡村製作所",1,8280,3814
"OKAMURA",2,"オカムラ",1,9203,4337
"G ARCHITECTS STUDIO",2,"G architects studio",1,8305,3830
"G ARCHITECTS STUDIO",2,"田中亮平／G ARCHITECTS STUDIO",1,10009,4808
"MICHIKO OKANO ARCHITECTS",2,"岡野道子建築設計事務所",1,8459,3915
"MICHIKO OKANO ARCHITECTS",2,"岡野道子",1,9214,4343
"TAIKOU ARCHITECTURE OFFICE",2,"太宏設計事務所",1,8510,3945
"TAIKOU ARCHITECTURE OFFICE",2,"太宏設計／福田達也",1,9292,4392
"B2AARCHITECTS",2,"馬場兼伸／B2Aarchitects",1,8545,3964
"B2AARCHITECTS",2,"B2Aarchitects",1,9218,4346
"ONDESIGN PARTNERS， DOZEN COMMUNITY CENTER",2,"西田司＋後藤典子＋萬玉直子／オンデザイン",1,8589,3987
"ONDESIGN PARTNERS， DOZEN COMMUNITY CENTER",2,"西田司＋萬玉直子＋後藤典子／オンデザイン",1,8590,3988
"TAKAO OZASA",2,"小篠隆生",1,8591,3989
"TAKAO OZASA",2,"小篠隆生＋北海道大学工学研究院小篠研究室",1,8592,3990
"KAZUHIRO KOJIMA＋KAZUKO AKAMATSU ／ CAt",2,"CAt",1,8700,4047
"KAZUHIRO KOJIMA＋KAZUKO AKAMATSU ／ CAt",2,"小嶋一浩＋赤松佳珠子／Cat",1,8743,4069
"PANASONIC HOMES",2,"パナソニック ホームズ",1,8728,4061
"PANASONIC HOMES",2,"パナソニックホームズ",1,9431,4482
"MATSUBAYASHI ARCHITECTURAL DESIGN OFFICE",2,"松林建築設計事務所",1,8836,4123
"MATSUBAYASHI ARCHITECTURAL DESIGN OFFICE",2,"松林建築設計",1,8971,4199
"MEC DESIGN INTERNATIONAL",2,"メック・デザイン・インターナショナル",1,8866,4138
"MEC DESIGN INTERNATIONAL",2,"メック・デザイン・インターナショナル／三田高章＋小田代美月",1,9449,4496
"ICHIURA HOUSING & PLANNING",2,"都市再生機構",1,8882,4145
